,player_name,pitcher,Split,zone,xwOBA,IsBIP,BatterName,batter
10750,,,L,1,0.30616666666666664,24,Miguel Rojas,500743.0
13944,,,R,5,0.30611627906976746,39,Trey Sweeney,700242.0
3014,,,L,1,0.3060526315789474,13,Christian Walker,572233.0
5360,,,R,4,0.30600877192982456,108,George Springer,543807.0
739,,,L,3,0.306,8,Andrew McCutchen,457705.0
12747,,,L,3,0.306,5,Ryan Mountcastle,663624.0
9969,,,L,6,0.3059677419354839,25,Mark Vientos,668901.0
9554,,,R,8,0.30596428571428574,26,Luis Matos,682641.0
1465,,,R,3,0.30591666666666667,17,Bo Bichette,666182.0
9502,,,L,2,0.3059090909090909,20,Luis Garcia,671277.0
11944,,,R,6,0.3059016393442623,49,Patrick Bailey,672275.0
11032,,,L,8,0.30582857142857145,31,Myles Straw,664702.0
14774,,,L,7,0.3058095238095238,18,William Contreras,661388.0
3140,,,R,8,0.30577064220183486,101,Cody Bellinger,641355.0
108,David Peterson,656849.0,R,9,0.3057448275862069,126,,
12675,,,L,3,0.3056875,14,Ryan Jeffers,680777.0
12798,,,R,7,0.30568181818181817,73,Ryan O'Hearn,656811.0
8157,,,L,4,0.3055675675675676,35,Jose Ramirez,608070.0
390,,,L,8,0.3055652173913044,21,Alejandro Kirk,672386.0
3281,,,R,3,0.3055,15,Colton Cowser,681297.0
5327,,,R,8,0.3053932584269663,70,Gavin Lux,666158.0
2073,,,R,9,0.30536363636363634,16,Brooks Lee,686797.0
8013,,,R,1,0.3052285714285714,64,Jose Altuve,514888.0
15045,,,L,5,0.3052142857142857,13,Yoan Moncada,660162.0
3253,,,L,4,0.3052142857142857,11,Colt Keith,690993.0
5202,,,R,3,0.30517647058823527,10,Gabriel Moreno,672515.0
1420,,,L,4,0.30510000000000004,11,Blaze Alexander,677942.0
6995,,,R,6,0.30507936507936506,44,Jazz Chisholm,665862.0
15292,,,R,4,0.3050545454545454,53,Zack Gelof,680869.0
6852,,,L,6,0.3050217391304348,43,Jarren Duran,680776.0
387,Nick Pivetta,601713.0,R,6,0.3049126213592233,81,,
5892,,,L,4,0.3048888888888889,9,Ildemaro Vargas,545121.0
11981,,,R,6,0.3048815789473684,61,Paul DeJong,657557.0
5165,,,R,5,0.30485057471264365,86,Freddy Fermin,666023.0
5321,,,R,2,0.3048076923076923,47,Gavin Lux,666158.0
8532,,,R,8,0.3048061224489796,92,Jurickson Profar,595777.0
1519,,,R,8,0.30475,2,Bobby Seymour,676044.0
6373,,,R,3,0.30474999999999997,1,Jacob Melton,689200.0
13814,,,R,2,0.3046938775510204,29,Trent Grisham,663757.0
11829,,,L,3,0.30460000000000004,8,Otto Lopez,672640.0
10325,,,R,4,0.30455932203389835,57,Mauricio Dubon,643289.0
9210,,,L,6,0.3045555555555556,22,Lawrence Butler,671732.0
8471,,,R,1,0.3045,23,Jung Hoo Lee,808982.0
12248,,,L,7,0.30441666666666667,12,Randy Arozarena,668227.0
10503,,,L,6,0.3043529411764706,16,Michael Busch,683737.0
338,,,R,2,0.3042,60,Alec Bohm,664761.0
511,Trevor Rogers,669432.0,R,2,0.304175,36,,
353,Merrill Kelly,518876.0,R,8,0.30413636363636365,74,,
11496,,,R,6,0.3040169491525424,108,Nico Hoerner,663538.0
7151,,,L,8,0.304,20,Jesus Sanchez,660821.0
9232,,,L,9,0.30394444444444446,15,Lenyn Sosa,672820.0
469,Stephen Kolek,663568.0,L,7,0.3038695652173913,19,,
8086,,,L,6,0.30366666666666664,6,Jose Fermin,665877.0
9455,,,R,1,0.3036567164179104,66,Luis Arraez,650333.0
5320,,,R,1,0.3034848484848485,19,Gavin Lux,666158.0
6600,,,R,8,0.30347826086956525,21,Jake Mangum,663968.0
2680,,,R,2,0.3034761904761905,35,Ceddanne Rafaela,678882.0
3633,,,L,6,0.30338888888888893,13,Dane Myers,667472.0
355,Michael McGreevy,700241.0,L,1,0.3033333333333333,4,,
2032,,,R,4,0.30332631578947367,80,Brice Turang,668930.0
10712,,,L,1,0.30327272727272725,10,Miguel Andujar,609280.0
92,David Peterson,656849.0,L,2,0.30323529411764705,11,,
2278,,,R,7,0.30313207547169807,94,C.J. Abrams,682928.0
7428,,,L,2,0.30312500000000003,14,Joey Wiemer,686894.0
2780,,,L,5,0.3031176470588235,17,Chandler Simpson,802415.0
10764,,,R,5,0.3031081081081081,73,Miguel Rojas,500743.0
13945,,,R,6,0.30310000000000004,16,Trey Sweeney,700242.0
122,Dustin May,669160.0,R,4,0.30305,38,,
2861,,,R,4,0.30304761904761907,20,Chase Meidroth,805367.0
5344,,,R,7,0.3030322580645161,76,Gavin Sheets,657757.0
4025,,,L,8,0.303,1,Daylen Lile,695734.0
2267,,,L,6,0.30295652173913046,41,C.J. Abrams,682928.0
