,Pitcher,Team,$,GS,IP,IP 180,K,ERA,WHIP,W,H,ER,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
47,Drew Rasmussen,TB,16.08,30.0,162.5,180,177,3.4,1.09,9,150,68,499.62,32.5,154.9,46.0,-13.5
16,Tanner Bibee,CLE,16.08,30.0,176.3,180,176,3.85,1.19,10,161,77,501.48,32.5,181.2,55.0,-22.5
29,Ryan Pepiot,TB,16.01,30.0,169.2,180,191,4.0,1.22,10,151,80,505.3,34.0,143.4,40.0,-6.0
17,Luis Castillo,SEA,16.0,30.0,176.0,180,171,3.8,1.16,11,159,76,501.6,35.0,164.1,51.0,-16.0
56,MacKenzie Gore,TEX,15.98,29.0,159.0,180,199,3.8,1.21,11,149,76,513.35,36.0,207.3,60.0,-24.0
22,Framber Valdez,FA,15.91,29.0,171.9,180,180,3.8,1.22,12,157,76,506.58,37.0,94.9,26.0,11.0
92,Reid Detmers,LAA,15.89,23.0,141.5,180,217,3.8,1.16,10,144,76,510.78,38.0,352.3,102.5,-64.5
13,Merrill Kelly,ARI,15.86,30.0,177.7,180,169,3.8,1.19,12,165,76,503.02,39.5,235.9,68.0,-28.5
18,Zac Gallen,FA,15.86,30.0,175.5,180,176,3.85,1.23,11,159,77,500.08,39.5,225.9,66.0,-26.5
145,Gerrit Cole,NYY,15.76,21.0,122.1,180,221,3.35,1.01,11,138,67,515.12,41.0,270.5,76.0,-35.0
129,Chase Burns,CIN,15.68,23.0,129.3,180,225,3.6,1.13,9,142,72,511.12,42.0,115.8,30.0,12.0
146,Zack Wheeler,PHI,15.56,20.0,120.9,180,226,3.45,1.07,13,145,69,519.22,43.0,148.3,42.0,1.0
83,Kris Bubic,KC,15.54,23.0,147.1,180,195,3.5,1.13,11,153,70,500.78,44.5,214.6,62.0,-17.5
44,Pablo Lopez,MIN,15.54,28.0,162.9,180,181,3.8,1.14,11,159,76,492.13,44.5,135.8,38.0,6.5
25,Yusei Kikuchi,LAA,15.49,30.0,170.6,180,187,4.2,1.25,10,162,84,491.85,46.0,352.3,102.5,-56.5
15,Sandy Alcantara,MIA,15.46,30.0,176.6,180,169,3.9,1.23,10,168,78,482.55,47.0,156.1,47.0,0.0
110,Shane McClanahan,TB,15.34,23.0,135.4,180,211,3.65,1.11,10,147,73,499.45,48.0,246.6,70.0,-22.0
37,Gavin Williams,CLE,15.31,30.0,165.5,180,189,3.95,1.3,9,151,79,484.98,49.5,148.1,41.0,8.5
30,Aaron Nola,PHI,15.31,29.0,168.9,180,184,4.15,1.23,12,168,83,495.03,49.5,210.9,61.0,-11.5
78,Eury Perez,MIA,15.28,27.0,148.5,180,196,3.75,1.13,8,143,75,483.33,51.0,91.3,24.0,27.0
42,Ranger Suarez,BOS,15.24,28.0,163.8,180,178,3.75,1.2,12,168,75,490.55,52.0,180.3,54.0,-2.0
60,Spencer Schwellenbach,ATL,15.23,26.0,154.9,180,187,3.8,1.14,13,169,76,495.93,53.0,83.0,23.0,30.0
55,Tatsuya Imai,HOU,15.2,29.0,159.0,180,189,3.9,1.21,11,157,78,488.75,54.0,162.8,50.0,4.0
71,Carlos Rodon,NYY,15.13,26.0,150.8,180,194,3.8,1.18,11,147,76,487.9,55.0,190.9,57.0,-2.0
48,Matthew Boyd,CHC,15.04,28.0,162.5,180,175,3.8,1.15,11,158,76,478.63,56.0,232.2,67.0,-11.0
41,Shane Smith,CWS,14.92,29.0,163.9,180,177,3.85,1.22,7,152,77,456.38,57.0,279.9,79.0,-22.0
124,Tyler Glasnow,LAD,14.82,23.0,130.8,180,222,3.85,1.22,15,145,77,511.1,58.0,113.7,29.0,29.0
104,Sean Manaea,NYM,14.74,22.0,137.0,180,199,3.7,1.1,11,153,74,479.25,59.0,304.5,90.0,-31.0
14,Mitch Keller,PIT,14.7,30.0,177.1,180,161,4.05,1.23,10,169,81,458.08,60.0,351.0,101.0,-41.0
81,Joe Musgrove,SD,14.69,26.0,147.7,180,194,3.95,1.17,9,165,79,464.52,61.0,253.3,72.5,-11.5
53,Shane Baz,BAL,14.59,28.0,161.2,180,184,4.05,1.26,12,159,81,475.1,62.5,199.8,59.0,3.5
61,Bubba Chandler,PIT,14.59,25.0,154.6,180,179,3.8,1.17,8,160,76,450.25,62.5,157.3,48.0,14.5
40,Ryne Nelson,ARI,14.58,29.0,165.1,180,161,3.7,1.15,11,158,74,462.88,64.0,262.3,75.0,-11.0
99,Emmet Sheehan,LAD,14.55,23.0,139.6,180,199,3.8,1.16,12,144,76,480.9,65.0,133.0,37.0,28.0
35,Andrew Abbott,CIN,14.54,28.0,166.6,180,160,3.75,1.17,10,155,75,457.65,66.0,217.7,64.0,2.0
49,Michael King,SD,14.53,30.0,162.3,180,178,3.9,1.26,11,162,78,468.77,67.0,137.1,39.0,28.0
23,Brandon Pfaadt,ARI,14.46,30.0,171.5,180,162,4.1,1.19,11,174,82,457.28,68.0,382.1,116.0,-48.0
36,Trevor Rogers,BAL,14.45,28.0,165.9,180,171,3.95,1.24,11,164,79,462.68,69.0,165.4,52.0,17.0
82,Nolan McLean,NYM,14.39,26.0,147.5,180,190,3.8,1.22,10,156,76,463.68,70.0,101.3,28.0,42.0
127,Logan Henderson,MIL,14.38,21.0,130.1,180,210,3.8,1.16,8,148,76,464.32,71.0,299.9,84.0,-13.0
27,Brady Singer,CIN,14.34,30.0,169.4,180,176,4.3,1.28,10,168,86,456.55,72.0,323.5,95.0,-23.0
135,Reynaldo Lopez,ATL,14.29,20.0,126.1,180,208,3.55,1.16,11,144,71,475.72,73.0,381.2,114.0,-41.0
31,Jeffrey Springs,OAK,14.12,30.0,168.5,180,164,4.0,1.24,10,165,80,451.52,74.0,420.3,126.0,-52.0
67,Shota Imanaga,CHC,13.92,26.0,152.2,180,166,3.75,1.1,11,162,75,448.45,75.0,168.6,53.0,22.0
77,Nick Lodolo,CIN,13.79,27.0,149.0,180,184,4.2,1.16,10,164,84,437.25,76.0,132.3,36.0,40.0
32,Jose Soriano,LAA,13.7,30.0,167.0,180,169,4.1,1.34,10,164,82,437.95,77.0,353.9,106.0,-29.0
34,Michael Wacha,KC,13.67,28.0,166.7,180,150,3.8,1.2,10,166,76,430.48,78.0,353.2,104.0,-26.0
59,Casey Mize,DET,13.59,28.0,156.2,180,160,3.7,1.18,10,165,74,434.45,79.0,271.0,77.0,2.0
6,Kyle Freeland,COL,13.58,30.0,181.9,180,141,4.2,1.25,9,182,84,420.08,80.0,728.2,199.0,-119.0
107,Shane Bieber,TOR,13.5,23.0,136.1,180,185,3.75,1.14,10,157,75,442.02,81.0,153.0,45.0,36.0
122,Cam Schlittler,NYY,13.27,24.0,131.4,180,206,4.1,1.26,10,151,82,442.65,82.0,129.2,35.0,47.0
63,Dean Kremer,BAL,13.26,27.0,152.9,180,162,3.75,1.2,11,160,75,430.03,83.0,429.5,129.0,-46.0
72,Lucas Giolito,FA,13.25,27.0,150.5,180,187,4.35,1.28,11,167,87,441.62,84.5,367.2,110.0,-25.5
20,Luis Severino,OAK,13.25,30.0,174.6,180,152,4.3,1.3,11,176,86,421.25,84.5,452.8,134.0,-49.5
111,Edward Cabrera,CHC,13.22,25.0,135.2,180,197,4.05,1.24,10,152,81,437.0,86.5,195.5,58.0,28.5
64,Chris Bassitt,FA,13.22,27.0,152.9,180,175,4.1,1.27,10,167,82,426.02,86.5,385.2,117.0,-30.5
102,Tyler Mahle,SF,13.2,24.0,138.0,180,183,3.75,1.21,9,156,75,430.5,88.0,354.7,108.0,-20.0
167,Shohei Ohtani,LAD,13.1,22.0,109.4,180,215,3.7,1.13,11,145,74,447.35,89.0,1.2,1.0,88.0
106,Braxton Ashcraft,PIT,13.08,22.0,136.8,180,182,3.75,1.21,7,157,75,417.2,90.0,300.4,85.0,5.0
108,Chad Patrick,MIL,13.03,25.0,135.9,180,185,3.9,1.19,10,155,78,428.38,91.0,348.9,100.0,-9.0
