,Unnamed: 0,DATE,TIME,GAME,TEAM,OPP,Pitcher,Proj
101,17,7-23,3:40pm ET,HOU@ARI,ARI,HOU,Brandon Pfaadt,12.4
102,10,7-23,2:20pm ET,KC@CHC,KC,CHC,Seth Lugo,15.8
103,11,7-23,2:20pm ET,KC@CHC,CHC,KC,Colin Rea,11.7
104,8,7-23,1:10pm ET,LAA@NYM,LAA,NYM,Carson Fulmer,
105,9,7-23,1:10pm ET,LAA@NYM,NYM,LAA,Sean Manaea,15.5
106,15,7-23,3:40pm ET,MIL@SEA,SEA,MIL,Luis Castillo,16.7
107,14,7-23,3:40pm ET,MIL@SEA,MIL,SEA,Quinn Priester,12.3
108,18,7-23,4:10pm ET,MIN@LAD,MIN,LAD,Bailey Ober,13.7
109,19,7-23,4:10pm ET,MIN@LAD,LAD,MIN,Tyler Glasnow,23.6
110,25,7-23,7:07pm ET,NYY@TOR,TOR,NYY,Chris Bassitt,16.7
